epoch,step,test_loss,test_rmse,train_loss,train_rmse_epoch,train_rmse_step,valid_loss,valid_rmse
0,4,,,,,6.47115421295166,,
0,6,,,,,,23.55476951599121,4.853325843811035
0,6,,,70.56684112548828,8.026449203491211,,,
1,9,,,,,5.173105716705322,,
1,13,,,,,,18.137304306030273,4.258791446685791
1,13,,,22.964454650878906,4.748393535614014,,,
2,14,,,,,3.591005563735962,,
2,19,,,,,4.65878963470459,,
2,20,,,,,,17.010822296142578,4.124417781829834
2,20,,,20.169200897216797,4.472392559051514,,,
3,24,,,,,3.8111257553100586,,
3,27,,,,,,16.820215225219727,4.101245403289795
3,27,,,20.27898406982422,4.477372169494629,,,
4,29,,,,,5.140777111053467,,
4,34,,,,,5.180678844451904,,
4,34,,,,,,16.7597599029541,4.093868732452393
4,34,,,18.860885620117188,4.278162956237793,,,
5,39,,,,,4.373638153076172,,
5,41,,,,,,16.554597854614258,4.068734169006348
5,41,,,18.323516845703125,4.265145778656006,,,
6,44,,,,,4.778378963470459,,
6,48,,,,,,15.8388671875,3.9798073768615723
6,48,,,18.011341094970703,4.212076663970947,,,
7,49,,,,,4.089042663574219,,
7,54,,,,,4.505102634429932,,
7,55,,,,,,17.010114669799805,4.124331951141357
7,55,,,17.540681838989258,4.1716227531433105,,,
8,59,,,,,4.490828990936279,,
8,62,,,,,,15.770051002502441,3.9711523056030273
8,62,,,17.423398971557617,4.151298522949219,,,
9,64,,,,,4.329613208770752,,
9,69,,,,,4.643077373504639,,
9,69,,,,,,15.643250465393066,3.9551548957824707
9,69,,,17.221010208129883,4.133303642272949,,,
10,74,,,,,4.480159759521484,,
10,76,,,,,,15.639730453491211,3.954710006713867
10,76,,,17.387975692749023,4.15123176574707,,,
11,79,,,,,4.1901397705078125,,
11,83,,,,,,15.364831924438477,3.919800043106079
11,83,,,17.699369430541992,4.193721294403076,,,
12,84,,,,,5.069408416748047,,
12,89,,,,,4.311795711517334,,
12,90,,,,,,16.181875228881836,4.022670269012451
12,90,,,17.121089935302734,4.106316566467285,,,
13,94,,,,,4.414505481719971,,
13,97,,,,,,15.732697486877441,3.9664463996887207
13,97,,,17.252620697021484,4.129145622253418,,,
14,99,,,,,3.911370038986206,,
14,104,,,,,4.671664237976074,,
14,104,,,,,,15.568037986755371,3.9456353187561035
14,104,,,17.318056106567383,4.139152526855469,,,
15,109,,,,,4.680461406707764,,
15,111,,,,,,16.70842170715332,4.0875935554504395
15,111,,,17.387205123901367,4.132374286651611,,,
16,114,,,,,4.322246551513672,,
16,118,,,,,,15.672696113586426,3.9588756561279297
16,118,,,16.855573654174805,4.069316387176514,,,
17,119,,,,,4.722029209136963,,
17,124,,,,,3.5817503929138184,,
17,125,,,,,,15.490310668945312,3.9357731342315674
17,125,,,17.663509368896484,4.176774024963379,,,
18,129,,,,,4.0726399421691895,,
18,132,,,,,,15.539397239685059,3.9420042037963867
18,132,,,16.750516891479492,4.0521674156188965,,,
19,134,,,,,3.6748785972595215,,
19,139,,,,,3.8863139152526855,,
19,139,,,,,,16.5081787109375,4.063025951385498
19,139,,,16.771915435791016,4.0805816650390625,,,
20,144,,,,,4.225106716156006,,
20,146,,,,,,16.349035263061523,4.043394088745117
20,146,,,16.716590881347656,4.0681915283203125,,,
21,149,,,,,4.351212501525879,,
21,153,,,,,,16.17596435546875,4.02193546295166
21,153,,,16.38075065612793,4.010354042053223,,,
22,154,22.991443634033203,4.7949395179748535,,,,,
