epoch,step,test_loss,test_rmse,train_loss,train_rmse_epoch,train_rmse_step,valid_loss,valid_rmse
0,4,,,,,6.748431205749512,,
0,6,,,,,,19.734149932861328,4.4423136711120605
0,6,,,73.95073699951172,8.268674850463867,,,
1,9,,,,,4.821351528167725,,
1,13,,,,,,16.586936950683594,4.07270622253418
1,13,,,22.643802642822266,4.714975833892822,,,
2,14,,,,,4.852112293243408,,
2,19,,,,,4.752010345458984,,
2,20,,,,,,16.703842163085938,4.087033271789551
2,20,,,20.289443969726562,4.497039794921875,,,
3,24,,,,,4.437924861907959,,
3,27,,,,,,16.466388702392578,4.05787992477417
3,27,,,18.802217483520508,4.290600776672363,,,
4,29,,,,,4.464388847351074,,
4,34,,,,,2.759114980697632,,
4,34,,,,,,15.680761337280273,3.9598941802978516
4,34,,,18.388505935668945,4.197672367095947,,,
5,39,,,,,4.4146928787231445,,
5,41,,,,,,15.753491401672363,3.969066858291626
5,41,,,18.046106338500977,4.2331461906433105,,,
6,44,,,,,4.7453179359436035,,
6,48,,,,,,15.5322847366333,3.9411020278930664
6,48,,,18.144668579101562,4.247694969177246,,,
7,49,,,,,5.3019633293151855,,
7,54,,,,,3.63425612449646,,
7,55,,,,,,15.596290588378906,3.949213981628418
7,55,,,17.628616333007812,4.152577877044678,,,
8,59,,,,,3.5021324157714844,,
8,62,,,,,,15.559610366821289,3.9445672035217285
8,62,,,17.697582244873047,4.163586616516113,,,
9,64,,,,,4.723182201385498,,
9,69,,,,,3.331599235534668,,
9,69,,,,,,16.56605339050293,4.070141792297363
9,69,,,17.38951873779297,4.141834735870361,,,
10,70,27.00948715209961,5.197065353393555,,,,,
